epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.4558,1.21835,2.08254,1.4547,0.00944,0.30769,0.00567,0.0015,3.15119,201.216,4.93318,0.000551861,0.000551861,0.000551861
2,156.451,1.43982,2.0089,1.62604,0.00878,0.3787,0.00634,0.0021,2.60892,55.903,3.06134,0.00110726,0.00110726,0.00110726
3,234.56,1.46474,2.02878,1.63984,0.01977,0.08876,0.00767,0.00204,2.99993,8.22197,3.3382,0.00166157,0.00166157,0.00166157
4,310.894,1.38379,1.93358,1.59751,0.04048,0.10651,0.01959,0.00522,2.76063,5.02352,3.11521,0.00166334,0.00166334,0.00166334
5,392.627,1.27994,1.74454,1.52132,0.14975,0.30769,0.10461,0.03646,2.36372,2.98525,2.76371,0.00166049,0.00166049,0.00166049
6,469.994,1.25977,1.66797,1.50986,0.16633,0.25444,0.09649,0.03158,2.34163,3.33712,2.79498,0.00165684,0.00165684,0.00165684
7,546.186,1.18146,1.5586,1.46524,0.29275,0.35503,0.22563,0.08148,2.08488,2.43166,2.34584,0.00165238,0.00165238,0.00165238
8,627.728,1.1607,1.4916,1.42247,0.12611,0.28994,0.09915,0.04085,2.16469,3.01814,2.44392,0.00164713,0.00164713,0.00164713
9,704.707,1.10448,1.41025,1.39374,0.19914,0.15385,0.09002,0.03635,2.42192,3.73093,2.86846,0.00164108,0.00164108,0.00164108
10,780.819,1.06853,1.34892,1.38904,0.24427,0.33136,0.18109,0.06724,2.3637,2.62606,2.66143,0.00163424,0.00163424,0.00163424
11,857.181,1.00649,1.27872,1.33164,0.31333,0.36095,0.25851,0.11393,2.04111,2.25651,2.24557,0.00162661,0.00162661,0.00162661
12,933.77,1.02572,1.27823,1.33667,0.44225,0.31361,0.32355,0.14227,1.86358,2.29557,2.09243,0.00161822,0.00161822,0.00161822
13,1015.22,0.99242,1.22472,1.30899,0.40391,0.42604,0.35139,0.15545,1.88261,2.10673,2.10902,0.00160905,0.00160905,0.00160905
14,1096.71,0.98605,1.19646,1.31508,0.30244,0.42604,0.29102,0.11197,2.27008,2.33142,2.68918,0.00159913,0.00159913,0.00159913
15,1173.45,0.94231,1.10893,1.26986,0.45671,0.44768,0.38538,0.18488,1.86473,2.18495,2.12323,0.00158847,0.00158847,0.00158847
16,1254.67,0.93617,1.11251,1.27334,0.39638,0.42604,0.36301,0.17744,1.86279,1.96883,2.07286,0.00157706,0.00157706,0.00157706
17,1331.39,0.92945,1.08144,1.2744,0.53353,0.50888,0.46746,0.21622,1.78947,1.77602,1.99946,0.00156493,0.00156493,0.00156493
18,1413.63,0.88139,1.03543,1.23094,0.43113,0.41258,0.38399,0.17809,1.8954,1.95207,2.1817,0.00155209,0.00155209,0.00155209
19,1489.85,0.88094,1.0344,1.22755,0.57547,0.47324,0.53351,0.25258,1.71769,1.70886,1.95761,0.00153854,0.00153854,0.00153854
20,1566.6,0.85751,0.99331,1.21818,0.71322,0.48563,0.61392,0.31568,1.60078,1.4843,1.81464,0.00152431,0.00152431,0.00152431
21,1648.15,0.85414,0.95417,1.21245,0.63314,0.46746,0.5394,0.25721,1.77714,1.64935,2.05696,0.00150941,0.00150941,0.00150941
22,1725.07,0.85857,0.96927,1.22106,0.60492,0.46207,0.47019,0.19806,1.90822,1.7775,2.18096,0.00149384,0.00149384,0.00149384
23,1801.29,0.84773,0.96325,1.20851,0.60776,0.56844,0.59867,0.31272,1.617,1.511,1.83555,0.00147764,0.00147764,0.00147764
24,1877.6,0.82778,0.91817,1.20001,0.4777,0.60355,0.5625,0.28203,1.62622,1.48508,1.88581,0.0014608,0.0014608,0.0014608
25,1953.84,0.79904,0.89792,1.17634,0.60779,0.486,0.57004,0.30313,1.63348,1.47706,1.87486,0.00144335,0.00144335,0.00144335
26,2029.75,0.8058,0.87893,1.18035,0.55199,0.51479,0.51937,0.28283,1.67662,1.70248,1.88748,0.00142531,0.00142531,0.00142531
27,2105.55,0.80483,0.93218,1.19424,0.57451,0.60947,0.61621,0.341,1.54335,1.50067,1.78924,0.0014067,0.0014067,0.0014067
28,2188.6,0.77687,0.85018,1.15972,0.57597,0.46154,0.51017,0.26809,1.64344,1.60321,1.90676,0.00138753,0.00138753,0.00138753
29,2265.43,0.77766,0.85343,1.15878,0.56192,0.67456,0.62178,0.33383,1.5503,1.393,1.80195,0.00136781,0.00136781,0.00136781
30,2341.78,0.7777,0.8511,1.15885,0.63473,0.5858,0.59884,0.32703,1.58466,1.46225,1.83385,0.00134758,0.00134758,0.00134758
31,2418,0.74391,0.79441,1.13627,0.719,0.62075,0.6851,0.37987,1.57828,1.31339,1.75345,0.00132685,0.00132685,0.00132685
32,2499.87,0.72466,0.78118,1.12491,0.68454,0.63905,0.69793,0.38657,1.51676,1.34449,1.76105,0.00130565,0.00130565,0.00130565
33,2579.99,0.73705,0.79532,1.13178,0.71189,0.6568,0.73609,0.41832,1.45411,1.22029,1.6964,0.00128398,0.00128398,0.00128398
34,2661.67,0.71212,0.77528,1.12687,0.76974,0.61319,0.71321,0.38339,1.55174,1.21401,1.73845,0.00126188,0.00126188,0.00126188
35,2737.57,0.73082,0.76103,1.12102,0.7041,0.74626,0.75212,0.41665,1.49047,1.27332,1.69691,0.00123936,0.00123936,0.00123936
36,2813.5,0.72448,0.76988,1.12884,0.80403,0.56213,0.6997,0.37775,1.54816,1.2377,1.7452,0.00121645,0.00121645,0.00121645
37,2889.4,0.71541,0.76735,1.11603,0.69996,0.66864,0.69945,0.36276,1.58113,1.27196,1.80771,0.00119317,0.00119317,0.00119317
38,2965.46,0.69021,0.72047,1.10727,0.73848,0.68506,0.74457,0.42627,1.5436,1.1247,1.79813,0.00116955,0.00116955,0.00116955
39,3043.62,0.71198,0.74652,1.11403,0.7537,0.61538,0.73492,0.41091,1.52696,1.15954,1.79863,0.0011456,0.0011456,0.0011456
40,3119.5,0.67555,0.68559,1.09498,0.85448,0.62544,0.7597,0.42271,1.56533,1.19141,1.80873,0.00112135,0.00112135,0.00112135
41,3195.37,0.67947,0.69568,1.09651,0.73993,0.74556,0.78767,0.44165,1.53937,1.0754,1.74561,0.00109683,0.00109683,0.00109683
42,3278.23,0.68393,0.70232,1.10297,0.78511,0.64497,0.74419,0.40877,1.52908,1.24028,1.73506,0.00107205,0.00107205,0.00107205
43,3354.23,0.67398,0.6911,1.09279,0.7869,0.61538,0.7318,0.41021,1.54469,1.18804,1.80392,0.00104705,0.00104705,0.00104705
44,3430.14,0.64807,0.65955,1.06851,0.66257,0.70877,0.73521,0.43031,1.4486,1.19474,1.70765,0.00102184,0.00102184,0.00102184
45,3506.08,0.65532,0.66938,1.07759,0.71911,0.74556,0.7933,0.47194,1.37468,1.03815,1.64559,0.000996456,0.000996456,0.000996456
46,3587.15,0.6332,0.63892,1.07042,0.81474,0.68639,0.79601,0.46135,1.4582,1.0603,1.65404,0.000970919,0.000970919,0.000970919
47,3664.27,0.62762,0.63069,1.06469,0.74405,0.76331,0.77839,0.44344,1.44898,1.04169,1.71781,0.000945256,0.000945256,0.000945256
48,3740.86,0.62725,0.6328,1.06156,0.81263,0.72189,0.79615,0.45957,1.41775,1.0599,1.69158,0.00091949,0.00091949,0.00091949
49,3817.04,0.62709,0.62734,1.07118,0.83711,0.67456,0.7894,0.47216,1.38901,1.03232,1.6546,0.000893648,0.000893648,0.000893648
50,3899.09,0.6251,0.62366,1.05475,0.83842,0.66864,0.8027,0.4875,1.38453,1.03033,1.62316,0.000867754,0.000867754,0.000867754
51,3980.94,0.62127,0.61166,1.05482,0.83883,0.74556,0.83097,0.50873,1.38551,0.93582,1.62647,0.000841835,0.000841835,0.000841835
52,4062.99,0.58783,0.58557,1.039,0.73119,0.77515,0.78703,0.48113,1.38357,1.0397,1.65346,0.000815916,0.000815916,0.000815916
53,4139.74,0.59121,0.59653,1.04417,0.86367,0.77515,0.84961,0.5067,1.35548,0.97207,1.62524,0.000790022,0.000790022,0.000790022
54,4216.49,0.58953,0.57989,1.04794,0.88643,0.72781,0.84103,0.50518,1.40412,0.91839,1.67057,0.00076418,0.00076418,0.00076418
55,4293.25,0.5896,0.57028,1.03288,0.83312,0.70414,0.82154,0.47776,1.48319,0.97628,1.71119,0.000738414,0.000738414,0.000738414
56,4369.93,0.58245,0.57658,1.03907,0.8325,0.73522,0.8338,0.50237,1.35763,0.96756,1.62228,0.000712751,0.000712751,0.000712751
57,4446.43,0.57479,0.56054,1.03462,0.87168,0.76374,0.83954,0.50949,1.36873,0.9996,1.62935,0.000687214,0.000687214,0.000687214
