epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.99,1.31342,1.77238,1.52772,0.55144,0.35913,0.39708,0.20114,1.68512,3.33883,2.08806,0.0671162,0.00033216,0.00033216
2,239.904,1.40456,1.76071,1.6254,0.844,0.39462,0.45914,0.29055,1.69444,2.01439,2.02875,0.0341096,0.000658905,0.000658905
3,356.075,1.35888,1.66917,1.58312,0.72965,0.41494,0.4319,0.27962,1.49759,2.11206,1.94595,0.00109642,0.00097905,0.00097905
4,471.485,1.33948,1.64195,1.57114,0.44654,0.49624,0.53036,0.34526,1.35191,1.82565,1.71136,0.0009703,0.0009703,0.0009703
5,587.251,1.27619,1.53903,1.52306,0.5557,0.57862,0.60797,0.39822,1.38015,1.57986,1.71865,0.0009604,0.0009604,0.0009604
6,708.969,1.21631,1.4355,1.47751,0.81671,0.48347,0.62518,0.43067,1.2858,1.45259,1.63657,0.0009505,0.0009505,0.0009505
7,825.507,1.20016,1.41555,1.47037,0.69659,0.58126,0.66235,0.42441,1.39826,1.37153,1.69807,0.0009406,0.0009406,0.0009406
8,946.803,1.15546,1.32766,1.43166,0.66119,0.62507,0.6661,0.43363,1.30531,1.35974,1.61987,0.0009307,0.0009307,0.0009307
9,1075.67,1.13215,1.29159,1.41488,0.72115,0.61826,0.68261,0.45464,1.29427,1.26867,1.57516,0.0009208,0.0009208,0.0009208
10,1225.71,1.09392,1.22874,1.38916,0.82011,0.66366,0.75377,0.50471,1.15404,1.27729,1.47304,0.0009109,0.0009109,0.0009109
11,1359.84,1.06285,1.19823,1.35704,0.76848,0.6102,0.71698,0.47513,1.17315,1.21281,1.51649,0.000901,0.000901,0.000901
12,1493.52,1.05442,1.1395,1.35055,0.78682,0.72076,0.78876,0.56143,1.15546,1.14229,1.49745,0.0008911,0.0008911,0.0008911
13,1626.31,1.04224,1.1357,1.34441,0.7705,0.70081,0.79552,0.53883,1.10637,1.04323,1.43965,0.0008812,0.0008812,0.0008812
14,1749.77,1.01986,1.10082,1.32547,0.71908,0.70203,0.76628,0.5283,1.21511,1.02713,1.53689,0.0008713,0.0008713,0.0008713
15,1873.26,1.0178,1.08194,1.33171,0.69092,0.69125,0.728,0.4855,1.21286,1.14155,1.53582,0.0008614,0.0008614,0.0008614
16,2006.96,1.00777,1.06539,1.32112,0.6796,0.81764,0.81067,0.54308,1.15187,1.04376,1.4766,0.0008515,0.0008515,0.0008515
17,2140.88,0.9879,1.03722,1.30581,0.82722,0.75651,0.84338,0.58229,1.13694,1.03093,1.45398,0.0008416,0.0008416,0.0008416
18,2291.26,0.97069,0.99514,1.28448,0.77841,0.76633,0.81105,0.57052,1.18615,0.99993,1.51696,0.0008317,0.0008317,0.0008317
19,2419.02,0.96026,0.98777,1.28119,0.74951,0.78471,0.77452,0.55629,1.09763,0.93581,1.43703,0.0008218,0.0008218,0.0008218
20,2543.57,0.97546,1.00457,1.28748,0.79642,0.79523,0.8387,0.58618,1.07048,0.91481,1.44067,0.0008119,0.0008119,0.0008119
21,2678.56,0.94569,0.97226,1.27328,0.8396,0.78796,0.83148,0.57184,1.13257,0.94947,1.491,0.000802,0.000802,0.000802
