epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.5396,1.25809,2.01369,1.43145,0.0158,0.14815,0.01064,0.00342,2.69723,29.8972,3.13901,0.000551887,0.000551887,0.000551887
2,148.126,1.47287,1.85825,1.57797,0.03298,0.05556,0.01092,0.00411,2.74596,9.39494,2.77343,0.00110728,0.00110728,0.00110728
3,226.835,1.52138,1.92613,1.64599,0.02057,0.2037,0.01429,0.00571,2.36475,11.971,2.60347,0.0016616,0.0016616,0.0016616
4,307.772,1.41202,1.75234,1.55712,0.34501,0.22222,0.17398,0.08694,2.18863,3.43569,2.40678,0.00166334,0.00166334,0.00166334
5,389.55,1.36394,1.62032,1.52534,0.20222,0.35802,0.18441,0.07238,2.16787,3.60617,2.40782,0.00166049,0.00166049,0.00166049
6,465.31,1.25542,1.49348,1.44967,0.6462,0.32716,0.40044,0.21472,2.12715,2.24207,2.20973,0.00165684,0.00165684,0.00165684
7,547.4,1.18857,1.40544,1.39469,0.74079,0.39506,0.50364,0.28389,1.95367,2.23707,2.13576,0.00165238,0.00165238,0.00165238
8,629.258,1.1467,1.2827,1.38019,0.68058,0.4735,0.52209,0.27339,1.79626,1.92675,1.93284,0.00164713,0.00164713,0.00164713
9,705.609,1.0868,1.1723,1.32352,0.7953,0.74691,0.81164,0.46775,1.54922,1.25498,1.6562,0.00164108,0.00164108,0.00164108
10,781.987,1.0731,1.16899,1.3096,0.62383,0.53233,0.57258,0.31854,1.69388,1.74681,1.81388,0.00163424,0.00163424,0.00163424
11,857.553,1.03245,1.10374,1.28298,0.7462,0.63522,0.69847,0.41401,1.62444,1.38516,1.70571,0.00162661,0.00162661,0.00162661
12,933.532,1.02182,1.09297,1.27084,0.80113,0.66049,0.7702,0.43978,1.60287,1.23088,1.68718,0.00161822,0.00161822,0.00161822
13,1009.57,1.02026,1.04196,1.2688,0.81482,0.66049,0.77187,0.46048,1.54756,1.36815,1.69603,0.00160905,0.00160905,0.00160905
14,1085.28,0.99594,1.03017,1.2557,0.80139,0.69753,0.78876,0.46682,1.49372,1.18484,1.64616,0.00159913,0.00159913,0.00159913
15,1161.41,0.95201,0.9484,1.23951,0.90133,0.68519,0.82488,0.49275,1.49822,1.13563,1.65954,0.00158847,0.00158847,0.00158847
16,1243.85,0.94543,0.96584,1.22076,0.52394,0.65432,0.62537,0.35537,1.55907,1.39039,1.69118,0.00157706,0.00157706,0.00157706
17,1319.99,0.92963,0.94085,1.20766,0.57421,0.66049,0.68376,0.44225,1.4007,1.28413,1.58071,0.00156493,0.00156493,0.00156493
18,1396.28,0.8961,0.95819,1.20472,0.85377,0.71605,0.84744,0.49135,1.39038,1.05365,1.5396,0.00155209,0.00155209,0.00155209
19,1472.44,0.90207,0.90559,1.1958,0.84825,0.75912,0.83369,0.49805,1.43912,1.01045,1.55882,0.00153854,0.00153854,0.00153854
20,1553.43,0.89582,0.88708,1.19265,0.89407,0.7294,0.84964,0.54344,1.29824,0.96865,1.44904,0.00152431,0.00152431,0.00152431
21,1633.51,0.87081,0.84201,1.16259,0.86303,0.81675,0.89009,0.56263,1.37499,0.95359,1.50836,0.00150941,0.00150941,0.00150941
22,1710.04,0.8505,0.78333,1.15255,0.83148,0.76543,0.85468,0.56061,1.31845,0.96663,1.48813,0.00149384,0.00149384,0.00149384
23,1785.69,0.84104,0.80728,1.1593,0.91517,0.7284,0.87436,0.56651,1.29352,0.96513,1.46247,0.00147764,0.00147764,0.00147764
24,1861.94,0.81845,0.76961,1.14117,0.82705,0.79012,0.87703,0.56761,1.30223,0.94838,1.47835,0.0014608,0.0014608,0.0014608
25,1944.99,0.83748,0.80314,1.16072,0.89382,0.83951,0.90142,0.5576,1.36764,0.8806,1.53055,0.00144335,0.00144335,0.00144335
26,2021,0.81187,0.77997,1.14016,0.96186,0.75926,0.89253,0.57035,1.31733,0.89158,1.47624,0.00142531,0.00142531,0.00142531
27,2097.43,0.82729,0.78772,1.14648,0.88405,0.77778,0.88976,0.59683,1.21451,0.91333,1.4102,0.0014067,0.0014067,0.0014067
28,2178.06,0.78542,0.74068,1.11286,0.90373,0.79012,0.8906,0.60127,1.27404,0.83193,1.43946,0.00138753,0.00138753,0.00138753
29,2260.54,0.77921,0.72445,1.11028,0.90175,0.84568,0.91981,0.60052,1.21821,0.80304,1.38623,0.00136781,0.00136781,0.00136781
30,2336.38,0.78985,0.71747,1.12926,0.96343,0.81309,0.91762,0.60344,1.21565,0.79368,1.39872,0.00134758,0.00134758,0.00134758
31,2418.14,0.75635,0.67212,1.09948,0.77523,0.82716,0.85713,0.57233,1.24176,0.86695,1.40695,0.00132685,0.00132685,0.00132685
32,2494.23,0.7657,0.68475,1.11438,0.91542,0.82716,0.92011,0.63479,1.17527,0.75425,1.36407,0.00130565,0.00130565,0.00130565
33,2576.4,0.74763,0.69042,1.09611,0.91969,0.83333,0.92344,0.6253,1.15045,0.79147,1.32342,0.00128398,0.00128398,0.00128398
34,2652.55,0.72988,0.66903,1.07926,0.91369,0.83951,0.932,0.64411,1.14184,0.76391,1.32275,0.00126188,0.00126188,0.00126188
35,2731.81,0.7608,0.69205,1.10576,0.85011,0.87037,0.93585,0.62478,1.21226,0.74887,1.40243,0.00123936,0.00123936,0.00123936
36,2807.95,0.72837,0.63635,1.08153,0.88567,0.86077,0.92432,0.62677,1.19197,0.76121,1.36782,0.00121645,0.00121645,0.00121645
37,2883.88,0.7127,0.63943,1.08203,0.86878,0.85802,0.91571,0.59073,1.20406,0.8761,1.37105,0.00119317,0.00119317,0.00119317
38,2959.83,0.68898,0.62131,1.06567,0.93983,0.81481,0.93666,0.64171,1.16964,0.73648,1.32929,0.00116955,0.00116955,0.00116955
39,3035.9,0.69673,0.61026,1.06964,0.93634,0.81481,0.90939,0.62352,1.16641,0.74794,1.33307,0.0011456,0.0011456,0.0011456
40,3111.86,0.69633,0.62209,1.06916,0.9473,0.87654,0.94467,0.65523,1.13572,0.66978,1.33188,0.00112135,0.00112135,0.00112135
41,3194.34,0.68267,0.60429,1.05567,0.9397,0.84568,0.93023,0.64254,1.10546,0.72328,1.3429,0.00109683,0.00109683,0.00109683
42,3270.25,0.68698,0.61651,1.06313,0.95084,0.87037,0.94658,0.65629,1.14515,0.64912,1.34131,0.00107205,0.00107205,0.00107205
43,3351.65,0.68029,0.5939,1.05893,0.94959,0.88889,0.94792,0.66603,1.10332,0.62964,1.30401,0.00104705,0.00104705,0.00104705
44,3434.62,0.65638,0.57003,1.04128,0.93977,0.86683,0.93564,0.63607,1.17875,0.69297,1.35288,0.00102184,0.00102184,0.00102184
45,3510.72,0.65522,0.57949,1.04795,0.92708,0.86325,0.94106,0.65867,1.10649,0.65563,1.29544,0.000996456,0.000996456,0.000996456
46,3586.85,0.6673,0.56605,1.04897,0.91255,0.87037,0.95051,0.67178,1.09908,0.63776,1.27505,0.000970919,0.000970919,0.000970919
47,3670.05,0.64431,0.56291,1.03453,0.94442,0.90741,0.95375,0.67919,1.1175,0.63262,1.28087,0.000945256,0.000945256,0.000945256
48,3752.17,0.63297,0.55784,1.02787,0.93422,0.87663,0.94481,0.67264,1.09564,0.62365,1.27382,0.00091949,0.00091949,0.00091949
49,3828.25,0.64263,0.55043,1.03812,0.95246,0.88272,0.95191,0.67711,1.10184,0.63189,1.27757,0.000893648,0.000893648,0.000893648
50,3904.29,0.61441,0.54625,1.02004,0.9227,0.89506,0.94326,0.67067,1.0876,0.63089,1.29323,0.000867754,0.000867754,0.000867754
51,3980.4,0.62832,0.52765,1.02593,0.96781,0.93827,0.96867,0.69166,1.07846,0.58378,1.26459,0.000841835,0.000841835,0.000841835
52,4062.99,0.62766,0.53151,1.03392,0.93356,0.91975,0.9582,0.67478,1.09503,0.59257,1.2636,0.000815916,0.000815916,0.000815916
