epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,12.0475,0.52808,0.85227,1,0.36353,0.09307,7e-05,7e-05
2,17.7727,0.26714,0.89773,1,0.27722,0.085147,0.00014703,0.00014703
3,23.9727,0.12713,0.88636,1,0.29065,0.0772209,0.000220892,0.000220892
4,29.429,0.0896,0.93182,1,0.13425,0.0692916,0.000291586,0.000291586
5,35.664,0.12,1,1,0.02168,0.0613591,0.000359112,0.000359112
6,40.7924,0.10777,0.98864,1,0.01934,0.0534235,0.00042347,0.00042347
7,47.2197,0.07513,1,1,0.00303,0.0454847,0.00048466,0.00048466
8,52.1789,0.03207,1,1,0.00253,0.0375427,0.000542682,0.000542682
9,59.2474,0.01876,1,1,0.00746,0.0295975,0.000597536,0.000597536
10,64.8727,0.17573,1,1,0.00329,0.0216492,0.000649222,0.000649222
11,69.9943,0.07914,1,1,0.00337,0.0136977,0.00069774,0.00069774
12,75.2954,0.03828,1,1,0.01307,0.00574309,0.00074309,0.00074309
13,81.8376,0.01471,0.98864,1,0.05608,0.0007624,0.0007624,0.0007624
14,87.2467,0.03227,0.98864,1,0.02605,0.0007426,0.0007426,0.0007426
15,92.074,0.0594,1,1,0.00345,0.0007228,0.0007228,0.0007228
