epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3257,0.5453,1.5444,1.23089,0.76923,1,0.77754,0.68029,0.42256,3.79657,0.82764,0.08416,0.00016,0.00016
2,23.2575,0.25174,0.39788,0.99345,0.642,1,0.98236,0.96451,0.24464,1.53298,0.47729,0.0673267,0.000326733,0.000326733
3,38.4976,0.26627,0.39631,1.00942,0.45149,1,0.48963,0.44049,0.31653,3.98276,0.55535,0.0504901,0.0004901,0.0004901
4,48.661,0.28815,0.42698,1.02106,0.64894,0.86667,0.89922,0.75567,0.41164,2.44919,0.72381,0.0336501,0.000650101,0.000650101
5,58.3838,0.26223,0.36052,1.00107,0.1079,0.76667,0.11794,0.06562,1.1063,11.3343,1.44014,0.0168067,0.000806736,0.000806736
6,68.5507,0.26611,0.35468,0.99747,0.57486,0.96667,0.81602,0.45601,1.34458,3.95881,1.73565,0.0009505,0.0009505,0.0009505
7,78.5453,0.28447,0.38429,1.00868,0.36801,0.9,0.37149,0.12543,1.52375,4.09875,1.9242,0.0009406,0.0009406,0.0009406
8,88.632,0.27038,0.34016,0.99241,0.16538,0.66667,0.16222,0.04393,2.72057,3.62889,2.8164,0.0009307,0.0009307,0.0009307
9,98.7564,0.2555,0.31753,0.98678,0.34651,0.4,0.26959,0.15861,2.75676,2.56177,3.06999,0.0009208,0.0009208,0.0009208
10,109.022,0.24926,0.32948,0.97936,0.12843,0.33333,0.0981,0.03524,3.07707,7.05191,3.47208,0.0009109,0.0009109,0.0009109
11,119.346,0.26291,0.3405,0.98908,0.85556,0.96667,0.94325,0.75341,0.5713,0.98181,0.84768,0.000901,0.000901,0.000901
12,130.18,0.23807,0.31017,0.97271,0.97012,1,0.995,0.83053,0.53484,0.69983,0.70464,0.0008911,0.0008911,0.0008911
13,140.401,0.22532,0.29571,0.95977,0.82635,1,0.99312,0.9814,0.31269,0.58526,0.59052,0.0008812,0.0008812,0.0008812
14,150.83,0.20684,0.27701,0.94627,0.99484,1,0.995,0.98296,0.27752,0.29099,0.54822,0.0008713,0.0008713,0.0008713
15,161.092,0.2076,0.27169,0.95319,0.96715,1,0.995,0.9487,0.3212,0.37252,0.5426,0.0008614,0.0008614,0.0008614
16,171.564,0.19989,0.26096,0.94209,0.96738,1,0.995,0.995,0.24594,0.32447,0.51794,0.0008515,0.0008515,0.0008515
17,188.425,0.18701,0.26214,0.94785,0.65965,1,0.81867,0.79389,0.2426,1.42147,0.51535,0.0008416,0.0008416,0.0008416
18,198.534,0.20089,0.28899,0.95806,0.72078,1,0.9055,0.843,0.34446,1.41581,0.62797,0.0008317,0.0008317,0.0008317
19,209.325,0.18625,0.27324,0.93733,0.97114,1,0.995,0.97487,0.32637,0.34759,0.56815,0.0008218,0.0008218,0.0008218
20,219.961,0.1827,0.26824,0.92933,0.98748,1,0.995,0.84545,0.22403,0.35259,0.42194,0.0008119,0.0008119,0.0008119
21,230.176,0.17857,0.26905,0.94087,0.948,1,0.99306,0.90887,0.46194,0.5074,0.74421,0.000802,0.000802,0.000802
22,245.561,0.17847,0.26404,0.93181,0.9437,0.96667,0.99212,0.9606,0.3063,0.36057,0.596,0.0007921,0.0007921,0.0007921
23,255.82,0.18171,0.27354,0.95547,0.99361,1,0.995,0.92719,0.38336,0.31663,0.72146,0.0007822,0.0007822,0.0007822
24,266.56,0.18258,0.24924,0.94662,0.99775,1,0.995,0.98647,0.22266,0.27955,0.50941,0.0007723,0.0007723,0.0007723
25,276.932,0.18197,0.25166,0.95517,0.98861,1,0.995,0.94363,0.38575,0.57874,0.65736,0.0007624,0.0007624,0.0007624
26,287.06,0.16497,0.24082,0.93538,0.89571,1,0.995,0.93501,0.33003,1.00779,0.60792,0.0007525,0.0007525,0.0007525
27,297.534,0.17517,0.23448,0.93938,0.75672,1,0.99403,0.99403,0.26986,1.37443,0.55307,0.0007426,0.0007426,0.0007426
28,307.738,0.16288,0.24494,0.92179,0.98969,1,0.995,0.995,0.19679,0.27999,0.46351,0.0007327,0.0007327,0.0007327
29,318.381,0.15617,0.22188,0.93417,0.98861,1,0.995,0.98372,0.23313,0.47057,0.45904,0.0007228,0.0007228,0.0007228
30,328.569,0.17176,0.24217,0.94264,0.93684,0.98907,0.98987,0.97043,0.25359,0.41584,0.49123,0.0007129,0.0007129,0.0007129
31,338.642,0.16872,0.26238,0.93375,0.95615,0.96667,0.99312,0.99149,0.21738,0.5651,0.49094,0.000703,0.000703,0.000703
32,354.258,0.16294,0.24029,0.94338,0.93148,1,0.98435,0.96369,0.18752,0.43754,0.45675,0.0006931,0.0006931,0.0006931
33,364.497,0.15747,0.25628,0.93899,0.9592,1,0.995,0.9575,0.28396,0.33939,0.53994,0.0006832,0.0006832,0.0006832
34,374.972,0.16643,0.23399,0.95186,0.99813,1,0.995,0.99214,0.19333,0.14841,0.45185,0.0006733,0.0006733,0.0006733
35,385.44,0.15264,0.22301,0.92559,0.99828,1,0.995,0.97869,0.20667,0.20904,0.4683,0.0006634,0.0006634,0.0006634
36,395.769,0.15324,0.22752,0.91637,0.99789,1,0.995,0.98236,0.20764,0.31771,0.45811,0.0006535,0.0006535,0.0006535
