class_id,area_ratio,width_ratio,height_ratio,repair_time_range,budget_range
0,0.06573,0.21245,0.12499,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20396,0.13183,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12281,0.05198,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13591,0.09794,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.19923,0.08413,5-6 hours,"LKR 9,000 - 12,000"
0,0.04381,0.08191,0.10753,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.1892,0.10678,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.20683,0.09691,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13185,0.12302,5-6 hours,"LKR 9,000 - 12,000"
2,0.04835,0.10397,0.10126,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.26226,0.21565,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11091,0.05886,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.1654,0.14346,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.18731,0.23388,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09417,0.08908,4-5 hours,"LKR 7,000 - 9,000"
0,0.00595,0.01293,0.01435,2-3 hours,"LKR 3,000 - 5,000"
1,0.04,0.08014,0.06983,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.16458,0.18899,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.24186,0.10852,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.25365,0.11849,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.15624,0.15742,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.06908,0.09548,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.1587,0.09117,5-6 hours,"LKR 9,000 - 12,000"
2,0.05067,0.16692,0.11809,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11308,0.0403,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.07898,0.05952,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.08942,0.05591,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.25053,0.18654,5-6 hours,"LKR 9,000 - 12,000"
0,0.06196,0.11488,0.14936,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.3206,0.14417,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.28921,0.18551,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.1162,0.06157,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.10012,0.0879,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.06752,0.0747,5-6 hours,"LKR 9,000 - 12,000"
0,0.029,0.04567,0.06479,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.13366,0.0862,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08584,0.08771,4-5 hours,"LKR 7,000 - 9,000"
0,0.06067,0.12137,0.11065,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.07982,0.06136,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.19576,0.10078,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22014,0.14038,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10604,0.06329,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.26486,0.10349,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.12372,0.17774,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.24856,0.11384,5-6 hours,"LKR 9,000 - 12,000"
1,0.03159,0.1062,0.07227,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.12612,0.0592,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.21175,0.15582,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.24634,0.09094,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13346,0.16412,6-7 hours,"LKR 12,000 - 15,000"
1,0.04,0.13888,0.0852,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.13779,0.13912,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.27395,0.12498,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.16476,0.18308,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10675,0.09407,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.16438,0.10257,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22956,0.09951,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13462,0.09196,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.27519,0.18105,5-6 hours,"LKR 9,000 - 12,000"
0,0.07685,0.2402,0.19208,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13632,0.07637,4-5 hours,"LKR 7,000 - 9,000"
1,0.03589,0.09118,0.07746,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.1768,0.10432,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08805,0.0754,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.18345,0.15465,5-6 hours,"LKR 9,000 - 12,000"
2,0.02962,0.07163,0.07316,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.14049,0.09823,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.1134,0.05034,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.1393,0.13529,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.22046,0.08981,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.1869,0.1314,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.12587,0.11029,5-6 hours,"LKR 9,000 - 12,000"
2,0.04538,0.11642,0.06189,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.13916,0.18686,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10695,0.08473,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.17698,0.19838,5-6 hours,"LKR 9,000 - 12,000"
0,0.06952,0.13023,0.09926,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.22957,0.24542,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10454,0.0743,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.07939,0.04689,4-5 hours,"LKR 7,000 - 9,000"
0,0.065,0.10424,0.09782,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.2153,0.13659,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.23858,0.14894,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.25033,0.15982,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18031,0.13552,5-6 hours,"LKR 9,000 - 12,000"
1,0.02865,0.07413,0.06761,3-4 hours,"LKR 5,000 - 7,000"
0,0.08,0.24704,0.15441,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.29879,0.10503,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.12772,0.04765,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.11129,0.08164,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.18414,0.13544,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.25954,0.19185,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.10854,0.06545,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.31778,0.1187,5-6 hours,"LKR 9,000 - 12,000"
2,0.1,0.21704,0.22043,6-7 hours,"LKR 12,000 - 15,000"
0,0.08,0.17551,0.1685,5-6 hours,"LKR 9,000 - 12,000"
0,0.07574,0.17707,0.17968,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09317,0.04512,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13184,0.05231,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.19253,0.14293,5-6 hours,"LKR 9,000 - 12,000"
0,0.0638,0.21642,0.09952,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.11271,0.04163,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.15811,0.09193,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.0764,0.05759,4-5 hours,"LKR 7,000 - 9,000"
0,0.02196,0.04795,0.03051,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.09489,0.05767,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.0618,0.05612,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.10206,0.0503,4-5 hours,"LKR 7,000 - 9,000"
0,0.03366,0.10636,0.04409,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.26631,0.13025,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.09114,0.05732,4-5 hours,"LKR 7,000 - 9,000"
1,0.04,0.13495,0.08395,4-5 hours,"LKR 7,000 - 9,000"
0,0.08,0.21549,0.12011,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18957,0.10957,5-6 hours,"LKR 9,000 - 12,000"
1,0.03934,0.06621,0.09346,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.29644,0.22098,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.13901,0.09664,5-6 hours,"LKR 9,000 - 12,000"
1,0.04,0.08379,0.09546,4-5 hours,"LKR 7,000 - 9,000"
2,0.1,0.31578,0.10555,5-6 hours,"LKR 9,000 - 12,000"
0,0.05235,0.11153,0.09471,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.1239,0.18441,6-7 hours,"LKR 12,000 - 15,000"
2,0.1,0.22014,0.21508,5-6 hours,"LKR 9,000 - 12,000"
0,0.08,0.18684,0.13056,5-6 hours,"LKR 9,000 - 12,000"
