epoch,train_loss,train_acc,val_loss,val_acc
1,0.5266023678439004,0.7714285714285715,0.3132101085569177,0.8
2,0.2827044725418091,0.8857142857142857,0.05362129344804478,1.0
3,0.09624660398278917,0.9714285714285714,0.013609942691566955,1.0
4,0.0524876600929669,1.0,0.0024733056646904774,1.0
5,0.25087358105395524,0.9714285714285714,0.0008982942489508007,1.0
6,0.026338692967380797,1.0,0.01439918767303295,1.0
7,0.06886941247752734,0.9428571428571428,0.009533738536161504,1.0
8,0.20305266146148954,0.9142857142857143,0.0016895035381561943,1.0
9,0.13295430886958326,0.9428571428571428,0.0006339431682135909,1.0
10,0.11465121124471937,0.9714285714285714,0.027339659834147562,0.9714285714285714
